N,V
35.0000000000, 17.3800000000, 39.7463468601, 34.1477501265
35.0000000000, 17.3800000000, 41.5243187281, 34.1477501265
35.0000000000, 17.3800000000, 41.9403791077, 34.1477501265
35.0000000000, 17.3800000000, 42.0272772687, 34.1477501265
35.0000000000, 17.3800000000, 42.0460971696, 34.1477501265
35.0000000000, 17.3800000000, 42.0495316955, 34.1477501265
35.0000000000, 17.3800000000, 42.0497658008, 34.1477501265
35.0000000000, 17.3800000000, 42.0495125975, 34.1477501265
35.0000000000, 17.3800000000, 42.0495489484, 34.1477501265
35.0000000000, 17.3800000000, 42.0495444100, 34.1477501265
35.0000000000, 17.3800000000, 42.0495364613, 34.1477501265
35.0000000000, 17.3800000000, 42.0495355205, 34.1477501265
