F,S0,I,V
25, 17.38, 5, 48.9653
25, 17.38, 10, 48.9653
25, 17.38, 15, 48.9653
25, 17.38, 20, 48.9653
25, 17.38, 25, 48.9653
25, 17.38, 30, 48.9653
25, 17.38, 35, 48.9653
25, 17.38, 40, 48.9653
25, 17.38, 45, 48.9653
25, 17.38, 50, 48.9653
25, 17.38, 55, 48.9653
25, 17.38, 60, 48.9653
25, 17.38, 65, 48.9653
25, 17.38, 70, 48.9653
25, 17.38, 75, 48.9653
25, 17.38, 80, 48.9653
25, 17.38, 85, 48.9653
25, 17.38, 90, 48.9653
25, 17.38, 95, 48.9653
25, 17.38, 100, 48.9653
25, 17.38, 105, 48.9653
25, 17.38, 110, 48.9653
25, 17.38, 115, 48.9653
25, 17.38, 120, 48.9653
25, 17.38, 125, 48.9653
25, 17.38, 130, 48.9653
25, 17.38, 135, 48.9653
25, 17.38, 140, 48.9653
25, 17.38, 145, 48.9653
25, 17.38, 150, 48.9653
25, 17.38, 155, 48.9653
25, 17.38, 160, 48.9653
25, 17.38, 165, 48.9653
25, 17.38, 170, 48.9653
25, 17.38, 175, 48.9653
25, 17.38, 180, 48.9653
25, 17.38, 185, 48.9653
25, 17.38, 190, 48.9653
25, 17.38, 195, 48.9653
25, 17.38, 200, 48.9653
25, 17.38, 205, 48.9653
25, 17.38, 210, 48.9653
25, 17.38, 215, 48.9653
25, 17.38, 220, 48.9653
25, 17.38, 225, 48.9653
25, 17.38, 230, 48.9653
25, 17.38, 235, 48.9653
25, 17.38, 240, 48.9653
25, 17.38, 245, 48.9653
25, 17.38, 250, 48.9653
25, 17.38, 255, 48.9653
25, 17.38, 260, 48.9653
25, 17.38, 265, 48.9653
25, 17.38, 270, 48.9653
25, 17.38, 275, 48.9653
25, 17.38, 280, 48.9653
25, 17.38, 285, 48.9653
25, 17.38, 290, 48.9653
25, 17.38, 295, 48.9653
25, 17.38, 300, 48.9653
25, 17.38, 305, 48.9653
25, 17.38, 310, 48.9653
25, 17.38, 315, 48.9653
25, 17.38, 320, 48.9653
25, 17.38, 325, 48.9653
25, 17.38, 330, 48.9653
25, 17.38, 335, 48.9653
25, 17.38, 340, 48.9653
25, 17.38, 345, 48.9653
25, 17.38, 350, 48.9653
25, 17.38, 355, 48.9653
25, 17.38, 360, 48.9653
25, 17.38, 365, 48.9653
25, 17.38, 370, 48.9653
25, 17.38, 375, 48.9653
25, 17.38, 380, 48.9653
25, 17.38, 385, 48.9653
25, 17.38, 390, 48.9653
25, 17.38, 395, 48.9653
25, 17.38, 400, 48.9653
25, 17.38, 405, 48.9653
25, 17.38, 410, 48.9653
25, 17.38, 415, 48.9653
25, 17.38, 420, 48.9653
25, 17.38, 425, 48.9653
25, 17.38, 430, 48.9653
25, 17.38, 435, 48.9653
25, 17.38, 440, 48.9653
25, 17.38, 445, 48.9653
25, 17.38, 450, 48.9653
25, 17.38, 455, 48.9653
25, 17.38, 460, 48.9653
25, 17.38, 465, 48.9653
25, 17.38, 470, 48.9653
25, 17.38, 475, 48.9653
25, 17.38, 480, 48.9653
25, 17.38, 485, 48.9653
25, 17.38, 490, 48.9653
25, 17.38, 495, 48.9653
25, 17.38, 500, 48.9653
